model,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,no_of_owner,omv,arf,accessories,model_make_id,model_name,model_trim,model_year,model_body,model_engine_cyl,model_engine_fuel,model_drive,model_transmission_type,model_seats,model_weight_kg,model_fuel_cap_l
Bentley Mulsanne S 6.75A ,449000,66220,52500,6752,377,28-Oct-2011,6.77,6,377727,377727,"21"" Bentley chrome rims. Multi function steering wheel. Keyless system. Cruise control. Navigation system. Bluetooth interface. Reverse camera.",423.0,Mulsanne,31445.0,2011.0,Sedan,8.0,Gasoline - Premium,Rear,Automatic,5.0,2584.580498866213,96.139
Ferrari F430 F1 Spider ,299000,58520,34400,4308,357,13-Jul-2009,5.02,5,295263,295263,"19"" Sports Rims, Carbon Ceramic Brake, Freshly Recoated Paint, Carbon Fibre Interior Trims, Paddle Shifter, Convertible Soft Top.",772.0,F430,36190.0,2009.0,Coupe,8.0,Gasoline - Premium,Rear,Manual,2.0,1449.4331065759636,95.0035
Porsche Macan 2.0A PDK,123000,34440,104000,1984,185,27-Jul-2016,2.34,2,62469,84445,"Keyless start/entry. 2 electric seats, reverse camera, classy mocha brown dark leather interior, elegant black beauty. 21 inch BC forged rims.",341.0,Macan,20362.0,2016.0,SUV,V6,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1864.8526077097504,74.94300000000001
Hyundai Veloster 1.6A GDi Turbo Sunroof ,135800,14900,137300,1591,137,1-Aug-2013,9.02,3,17600,17600,"Paddle shifter, new paint work done! Sport rim! Leather seats, automatic sunroof, reverse camera/sensor, multi function steering, keyless entry.",237.0,Veloster,27680.0,2013.0,Coupe,4.0,Gasoline,Front,6-speed manual,4.0,1204.9886621315193,49.962
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,69800,18140,161000,1595,90,14-Mar-2017,2.97,3,31899,31659,"Black leather interior for fuss free Maintenance, 18 inch sporty rims, electric memory seats, electric tailgate, beautiful daytime running lights.",301.0,CLA-Class,17178.0,2017.0,Sedan,I4,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,1564.625850340136,56.01800000000001
Porsche Cayenne 3.2A ,49900,23000,59000,3189,184,24-May-2006,2.17,3,74302,81733,"Sports rims, electric memory seats, front and rear parking sensors. 4WD, xenon lights, auto wipers, dual zone auto climate control.",339.0,Cayenne,44356.0,2006.0,SUV,6.0,Gasoline - Premium,4WD,Manual,5.0,2169.6145124716554,99.924
Porsche Cayenne Diesel 3.0A Tip,138800,39560,65000,2967,193,26-Feb-2016,0.92,2,84866,124759,"Electric seat and tail gate, front and back camera/sensor, cruise control, Bluetooth.",339.0,Cayenne,20351.0,2016.0,SUV,V6,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,2035.374149659864,99.924
Toyota Corolla Altis 1.6A Elegance,67800,14960,104000,1598,96,3-Jan-2018,3.78,2,21690,22366,Keyless entry. Push start/stop. Reverse camera. Factory fitted audio player. Multi steering function. LED head lamps with day lights.,521.0,Corolla iM,14946.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1334.6938775510205,52.99
Mercedes-Benz C-Class C180 Avantgarde,159777,19590,81000,1497,115,22-Apr-2021,7.08,1,35735,42029,"17"" sports rims, factory CarPlay/Bluetooth/audio sound system, 2 x electric memory seats, front and rear parking sensors, reverse camera.",300.0,C-Class,5367.0,2021.0,Compact Cars,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,4.0,1804.53514739229,65.859
Subaru Impreza 4D 1.6i-S,56800,14930,101000,1600,84,28-Jul-2017,3.35,1,13646,13646,Park assist with reverse camera. Bluetooth connect. Electric seats. Sunroof. Cruise control. Hill descent control. Blind spot alert and much more.,79.0,Impreza,17838.0,2017.0,Hatchback,flat 4,regular unleaded,all wheel drive,5-speed manual,5.0,1353.7414965986395,49.962
Honda Jazz 1.5A L ,54800,11670,147280,1497,88,21-Feb-2009,4.69,4,23205,23205,"Stock condition with aftermarket rims, leather seats, Skyroof, Android player, reverse camera and sensors, etc.",honda,Jazz,1.2 i-Vtec,2009.0,Hatchback,4.0,Gasoline - Premium,Front,Manual,5.0,1047.0,42.0
Mercedes-Benz C-Class C180 Avantgarde ,139500,13940,119500,1595,115,30-Oct-2014,10.0,1,32856,27999,"Factory-fitted audio system, media/Bluetooth interface, Parking assistance, Parktronic, reverse camera, electric tailgate.",300.0,C-Class,25496.0,2014.0,Compact Cars,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,4.0,1604.53514739229,65.859
Mazda 6 2.5A Sunroof,53800,13750,128000,2488,141,30-Dec-2016,2.77,3,28092,31329,"Leather upholstery, electric seat, reverse camera/ sensor, front and rear dash camera, HUD.",407.0,6,19986.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1473.922902494331,62.074
Subaru Forester 2.0i-L Sunroof,44800,14680,123434,1995,110,21-Sep-2016,2.5,1,16215,16215,"Dual electric leather seats, Sunroof, multi function steering, front/rear/reverse camera and sensors, fog lights, factory fitted audio system",354.0,Forester,20620.0,2016.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1643.5374149659865,60.18150000000001
Mercedes-Benz CLA-Class CLA180,65588,19990,79000,1595,90,8-Nov-2016,2.63,2,27886,26041,"Keyless start/stop. Auto headlights with DRL. Remote boot release. 18"" sports-rims. Electric seats. Reverse camera & sensors. Front & back dashcam.",301.0,CLA-Class,20038.0,2016.0,Sedan,I4,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1564.625850340136,56.01800000000001
Kia Sportage 2.0A GT Line,68800,14950,81491,1999,114,27-Nov-2017,3.68,1,25340,27476,Selling Very Cheap! Super Cheap. New Arrival! Lowest In The Market Confirmed! 1 Owner. Beautiful White Color. So Low Price Yet Probably Best Condition Around. Must View! High Loan Avail & High Trade-In. Contact Us To Arrange For Viewing Today!,57.0,Sportage,16938.0,2017.0,SUV,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1630.8390022675735,62.074
BMW X1 sDrive18i xLine,169888,17840,25000,1499,100,31-May-2022,8.19,2,39563,47389,"iDrive, Bluetooth, auto front seats with driver memory, front & back PDC with rear view camera, park assistant, contactless boot open/close, 17"" rims.",147.0,X1,817.0,2022.0,Sport Utility Vehicles,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,5.0,1611.7913832199547,60.938500000000005
Maserati Quattroporte 4.2A ,159800,20990,166000,4244,295,23-Nov-2011,7.61,5,105561,105561,"New interior leather seats, new exterior paint, multi function steering, paddle shift, memory seats and rear roller blinds.",285.0,Quattroporte,32675.0,2011.0,Sedan,8.0,Gasoline,Rear,Automatic,5.0,1990.4761904761904,90.083
Mercedes-Benz GLC-Class GLC250 4MATIC,118800,24450,90000,1991,155,29-Dec-2017,3.77,4,43730,53222,Keyless entry/start/stop. Electric tailgate with kick open/close. Sunroof edition. Reverse cam. Dual electric memory seats. Auto headlamp with DRL.,307.0,GLC-Class,17205.0,2017.0,SUV,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1879.8185941043084,65.859
Maserati Ghibli 3.0A V6 GranSport,197800,31800,97000,2979,257,23-Aug-2018,4.42,1,79112,114402,"Electric memory seats, multifunction steering wheel control, Maserati infotainment with navigation, all round sensors with reverse camera.",282.0,Ghibli,14129.0,2018.0,Sedan,V6,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1809.5238095238092,79.8635
Infiniti QX30 2.0A GT Premium,99800,15700,45500,1991,155,21-Mar-2019,4.99,2,36191,42668,"Multi Function Steering Wheel, Keyless Entry And Auto Start Stop Engine, Multi Zone Aircon, Bluetooth, Navigation System, Reverse Camera.",489.0,QX30,10596.0,2019.0,SUV,I4,premium unleaded (required),front wheel drive,7-speed automated manual,5.0,1535.6009070294783,49.962
BMW 1 Series 116d,45800,14760,129237,1496,85,30-Nov-2016,2.69,4,25133,12187,2016 BMW. Well kept. Nice color. 100% loan welcomed. Provide 12 months/20000km warranty coverage period from the date purchased by think One Autocare.,147.0,X1,18442.0,2016.0,SUV,I4,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,1659.863945578231,60.938500000000005
Honda Odyssey 2.4A EX-S,58800,19180,174297,2356,129,28-Jun-2016,2.26,2,27643,30701,"Twin auto sliding doors, cruise control, touchscreen audio, climatic aircon, reverse camera and sensor, side mirror indicator.",41.0,Odyssey,19540.0,2016.0,Minivan,V6,regular unleaded,front wheel drive,6-speed automatic,8.0,2027.2108843537412,79.485
Mercedes-Benz C-Class C200 Mild Hybrid AMG Line,249800,25740,4600,1496,165,28-Jul-2022,8.35,1,54190,69542,"11.9"" MBUX touch display. Dual elec/mem seats. Apple/Android. Ambient light. Blind spot monitor. Active park assist w/ 360 cam/sensor. Keyless go.",300.0,C-Class,2531.0,2022.0,Compact Cars,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,4.0,1774.6031746031745,65.859
Volkswagen Passat 1.8A TFSI Sunroof,49800,15680,43141,1798,132,31-May-2016,2.19,1,31400,30960,"Keyless entry, sunroof,memory seats, navigation system with 8"" touch screen display.Built-In Apple/Android Carplay.Reverse Camera/Sensors. Solar Film.",390.0,Passat,20981.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1479.8185941043084,70.02250000000001
Hyundai Elantra 1.6A GLS S,56300,13940,97000,1591,93,31-Oct-2017,3.61,2,12032,12032,"Keyless entry, navigation, integrated touch screen infotainment, reverse sensors, fog lamps, knockdown seats, auto head lights/LED DRL fog light.",440.0,Elantra GT,16589.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1318.8208616780046,49.962
Honda Jazz 1.3A ,52800,11810,106000,1339,60,10-Sep-2008,4.47,3,13885,13885,"Leather upholstery, sports rims, paddle shifters, electrical retractable side mirrors, reverse sensors/camera and 3M solar film.",honda,Jazz,1.2,2008.0,Hatchback,4.0,Gasoline - Premium,Front,Manual,5.0,1074.0,42.0
MINI Cooper Diesel 1.5A,29800,14850,120000,1496,85,23-Oct-2015,0.58,3,25355,12497,"Sports rims,leather seats, multi function steering wheel, Bluetooth, park distance control, USB/AUX, comfort access, reverse camera, keyless start.",575.0,Cooper,22965.0,2015.0,Hatchback,I3,premium unleaded (required),front wheel drive,6-speed manual,4.0,1181.40589569161,43.906
Volkswagen Golf 1.4A TSI ,62800,12090,108000,1390,90,7-Aug-2009,5.19,4,21391,21391,"Leather Upholstery, Sports Rims, Android infotainment with Apple Car-play, reverse sensor, cameras, retractable side mirrors nda rear aircon.",volkswagen,Golf,5 1.6 Comfortline,2009.0,Hatchback,4.0,Gasoline,Front,Manual,5.0,1224.0,55.0
Mercedes-Benz C-Class C180 Avantgarde,83800,24060,43978,1595,115,9-Dec-2016,2.71,1,35663,36929,"Factory audio system with Bluetooth, electric tailgate, ambient lightings, reverse camera/sensors, rear aircon, multi function steering.",300.0,C-Class,20034.0,2016.0,Sedan,V8,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1715.1927437641723,68.13
Mazda 6 2.0A,83000,15680,81670,1998,121,30-Nov-2018,4.69,1,18815,18815,"17"" sports rims, dual electric seats with driver's memory, factory fitted multimedia interface, Bluetooth, navigation, reverse camera/sensors.",407.0,6,14171.0,2018.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1614.512471655329,62.074
BMW 2 Series 216i Active Tourer,102800,16560,73126,1499,80,28-May-2019,5.18,1,29931,33904,"Multi function steering, ConnectedDrive, Bluetooth interface. Parking/driving assistance, reverse camera. Driver's memory, dual electric seats.",140.0,2 Series,9337.0,2019.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Hyundai Elantra 1.6A ,27800,13200,116000,1591,95,8-Jun-2011,2.02,6,13976,13976,"Sports rims, keyless ignition, electric drivers seat, audio system with reverse sensors/cameras, rear aircon, retractable side mirrors and fog lights.",42.0,Elantra,32428.0,2011.0,Sedan,4.0,Gasoline,Front,Manual,5.0,1224.9433106575964,48.44800000000001
Audi A5 Sportback 2.0A TFSI S-tronic Design,134800,19930,82095,1984,140,31-Oct-2019,5.61,2,38532,45945,"Electric/memory seats, multi function steering, paddle shifters, Bluetooth, rev camera/sensors, hands free tailgate, in car camera front/back.",3.0,A5,9273.0,2019.0,Convertible,I4,premium unleaded (recommended),all wheel drive,7-speed automated manual,4.0,1809.5238095238092,57.910500000000006
Audi A3 Sedan 1.4A TFSI Attraction,47800,16160,90000,1395,92,26-Aug-2016,2.42,2,25098,17138,"Audi MMI system with Bluetooth, sports seats, reverse sensors, retractable side mirrors, rear aircon, paddle shifter & multi functional steering wheel",507.0,A3 Sportback e-tron,18284.0,2016.0,Hatchback,I4,premium unleaded (recommended),front wheel drive,6-speed automated manual,5.0,1639.9092970521542,40.121
Mazda 3 1.5A Sunroof,68388,13310,114000,1496,88,26-Oct-2018,4.59,1,14364,14364,"Sports rims, reverse sensors, I-stop function, sports mode, Sunroof, factory fitted audio system, steering wheel controls, Bluetooth.",286.0,3,14166.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1381.40589569161,49.962
Mazda 5 2.0A Sunroof,42800,14210,110000,1998,111,11-Jul-2016,2.3,2,20134,20188,"Sport rims, leather seats, dual power sliding doors, factory audio system, multi functions steering, auto retractable side mirrors with indicators.",291.0,MX-5 Miata,20016.0,2016.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,6-speed manual,2.0,1057.596371882086,45.041500000000006
Volvo XC60 2.0T ,92800,13140,130000,1999,149,13-Apr-2011,7.06,3,42041,42041,"Sports Rims, Factory Fitted Audio System, Built In Navigation, Reverse Camera, Keyless Entry, Electric Tailgate, Twin Electric Memory Seats.",95.0,XC60,33528.0,2011.0,SUV,6.0,Gasoline,Front,Automatic,5.0,1795.0113378684807,70.02250000000001
Infiniti Q50 2.0A T,70800,17230,71024,1991,155,30-Mar-2017,3.02,3,32532,37545,"6 Airbags, Keyless Eny/start/stop Button, Both Front Electric Seats, Multi- Function Steering Wheel, Rear Aircon, Cruise Control, Drive Mode.",45.0,Q50,16649.0,2017.0,Sedan,I4,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1656.235827664399,75.7
Volkswagen Golf 1.4A TSI Comfortline,87800,13990,88000,1395,92,17-Oct-2019,5.57,1,19703,19703,"LED headlights/DRL, 17"" rims, media player with Apple/Android CarPlay, factory audio system, Bluetooth, reverse camera/sensors, electric park brake.",419.0,Golf,12056.0,2019.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1302.947845804989,49.962
Toyota Camry 2.5A,121800,18510,53000,2487,154,30-Sep-2019,5.52,1,33579,39011,"Navigation System, Bluetooth Interface, Multi Zone Aircon, Daytime Running Lights, Auto Headlights, Rain Sensing Wipers, Leather Seats, Sports Rims.",84.0,Camry,11857.0,2019.0,Sedan,I4,regular unleaded,front wheel drive,8-speed shiftable automatic,5.0,1469.84126984127,54.8825
Mazda 6 2.0A Executive,41800,14590,85000,1998,121,24-May-2016,2.17,2,20192,20269,"18"" sports rims, navigation/Bluetooth, reverse sensors/camera, HUD, BSM, dual electric seat, rear aircon, knockdown rear seats and Bose speakers.",407.0,6,19986.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1473.922902494331,62.074
Mitsubishi Lancer EX 1.6A,47800,12590,95000,1590,86,31-Jul-2017,3.36,3,11074,11074,"17"" original sports rims, leather upholstery, touch screen head unit player, retractable side mirrors, reverse sensors and side light indicators.",544.0,Lancer,17301.0,2017.0,Sedan,I4,regular unleaded,front wheel drive,5-speed manual,5.0,1309.750566893424,58.6675
BMW X3 2.5si ,60800,12880,123000,2497,160,10-Dec-2008,4.71,6,47253,47253,"Sports rims, new leather upholstery, electric seats, front & rear parking assist & knockdown rear seats.",148.0,X3,38044.0,2008.0,SUV,6.0,Gasoline,4WD,Manual,5.0,1819.501133786848,66.9945
Mercedes-Benz E-Class E200 Exclusive,115800,22910,100900,1991,135,27-Sep-2017,3.51,1,54744,70540,Keyless entry start/stop multi adjustable ambient interior light reverse camera reverse sensors 360 all round camera.,303.0,E-Class,17195.0,2017.0,Sedan,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1879.8185941043084,79.8635
Honda Civic 1.5A VTEC Turbo Sunroof,96800,17600,72195,1498,127,8-Nov-2018,4.63,1,27527,30538,"Sports rims, touch screen audio system, smartphone connection, driver's electric seat, reverse camera and sensors, rear aircon, auto head lights.",216.0,Civic,13495.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1342.857142857143,46.934000000000005
BMW X1 sDrive18i,56800,19320,92000,1499,100,1-Jun-2016,2.19,2,29946,28925,"Electric seats, comfort access, iDrive, Bluetooth, navi, reverse camera, drive experience control, contactless boot release and auto tailgate.",147.0,X1,18442.0,2016.0,SUV,I4,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,1659.863945578231,60.938500000000005
Honda Civic 1.6A VTi,72800,15600,113000,1597,92,4-Apr-2018,4.03,1,19724,19724,"Apple CarPlay/Android Auto/Bluetooth, Leather Seats, Sports Rims, Walkaway Lock/unlock, Reverse Camera, Multi Function Steering, Rear Aircon.",216.0,Civic,13495.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1342.857142857143,46.934000000000005
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,224800,23060,2500,1496,140,16-Dec-2022,8.73,1,38956,46539,"Fully Digital 12.3"" Instrument Cluster Display And 11.9"" MBUX Touchscreen Infotainment. Wireless Smartphone Charging. Wireless Apple CarPlay & Android",300.0,C-Class,2531.0,2022.0,Compact Cars,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,4.0,1774.6031746031745,65.859
BMW 2 Series 216d Gran Tourer Luxury,68800,16510,120000,1496,85,25-Jul-2017,3.34,1,32369,27317,"Factory fitted audio system with Bluetooth/navi, BMW in car camera, reverse camera, sports rims, contactless boot release tailgate, memory seats.",140.0,2 Series,15381.0,2017.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Infiniti QX50 2.0A VC-T Sensory ProACTIVE,124988,19960,48000,1997,200,29-Mar-2019,5.02,1,41173,49643,"Sports Rims, Bluetooth, Navigation, Ventilated Electric Seats, Keyless Entry, Power Tailgate, Reverse Camera, Daytime Lights, Bose System.",240.0,QX50,10603.0,2019.0,SUV,I4,premium unleaded (recommended),front wheel drive,continuously variable-speed automatic,5.0,1735.6009070294783,60.56
